YearRange,Average intake as a percentage of food energy excluding energy from alcohol,Unit,IntakeYear
2006/7,Fat,g,13812.7
2006/7,Fatty acids: Saturates,g,5494.38
2006/7,Fatty acids: Mono-unsaturates,g,4991.6
2006/7,Fatty acids: Poly-unsaturates,g,2395.97
2006/7,Carbohydrate,g,17463.61
2006/7,Non-milk extrinsic sugars,g,5273.95
2006/7,Protein,g,5209.25
2007/8,Fat,g,13866.04
2007/8,Fatty acids: Saturates,g,5504.4
2007/8,Fatty acids: Mono-unsaturates,g,5009.94
2007/8,Fatty acids: Poly-unsaturates,g,2426.84
2007/8,Carbohydrate,g,17409.81
2007/8,Non-milk extrinsic sugars,g,5302.93
2007/8,Protein,g,5203.01
2008/9,Fat,g,13916.06
2008/9,Fatty acids: Saturates,g,5524.37
2008/9,Fatty acids: Mono-unsaturates,g,5045.49
2008/9,Fatty acids: Poly-unsaturates,g,2409.45
2008/9,Carbohydrate,g,17393.99
2008/9,Non-milk extrinsic sugars,g,5315.98
2008/9,Protein,g,5162.56
2009/10,Fat,g,13945.57
2009/10,Fatty acids: Saturates,g,5485.96
2009/10,Fatty acids: Mono-unsaturates,g,5135.33
2009/10,Fatty acids: Poly-unsaturates,g,2401.61
2009/10,Carbohydrate,g,17382.34
2009/10,Non-milk extrinsic sugars,g,5306.13
2009/10,Protein,g,5135.74
2010/11,Fat,g,14019.45
2010/11,Fatty acids: Saturates,g,5443.84
2010/11,Fatty acids: Mono-unsaturates,g,5263.72
2010/11,Fatty acids: Poly-unsaturates,g,2417.39
2010/11,Carbohydrate,g,17323.88
2010/11,Non-milk extrinsic sugars,g,5322.87
2010/11,Protein,g,5117.58
2011/12,Fat,g,13998.65
2011/12,Fatty acids: Saturates,g,5412.84
2011/12,Fatty acids: Mono-unsaturates,g,5297.77
2011/12,Fatty acids: Poly-unsaturates,g,2410.85
2011/12,Carbohydrate,g,17330.54
2011/12,Non-milk extrinsic sugars,g,5244.32
2011/12,Protein,g,5130.13
2012/13,Fat,g,13971.19
2012/13,Fatty acids: Saturates,g,5408.72
2012/13,Fatty acids: Mono-unsaturates,g,5307.61
2012/13,Fatty acids: Poly-unsaturates,g,2373.65
2012/13,Carbohydrate,g,17383.04
2012/13,Non-milk extrinsic sugars,g,5154.46
2012/13,Protein,g,5108.11
2013/14,Fat,g,14032.95
2013/14,Fatty acids: Saturates,g,5478.63
2013/14,Fatty acids: Mono-unsaturates,g,5334.45
2013/14,Fatty acids: Poly-unsaturates,g,2335.13
2013/14,Carbohydrate,g,17310.99
2013/14,Non-milk extrinsic sugars,g,5057.6
2013/14,Protein,g,5123.02
2014/15,Fat,g,14090.01
2014/15,Fatty acids: Saturates,g,5506.04
2014/15,Fatty acids: Mono-unsaturates,g,5353.9
2014/15,Fatty acids: Poly-unsaturates,g,2340.13
2014/15,Carbohydrate,g,17207.75
2014/15,Non-milk extrinsic sugars,g,4992.77
2014/15,Protein,g,5165.27
2015/16,Fat,g,14114.43
2015/16,Fatty acids: Saturates,g,5488.57
2015/16,Fatty acids: Mono-unsaturates,g,5394.73
2015/16,Fatty acids: Poly-unsaturates,g,2337.28
2015/16,Carbohydrate,g,17131.59
2015/16,Non-milk extrinsic sugars,g,4831.03
2015/16,Protein,g,5216.64
2016/17,Fat,g,14077.48
2016/17,Fatty acids: Saturates,g,5525.55
2016/17,Fatty acids: Mono-unsaturates,g,5348.03
2016/17,Fatty acids: Poly-unsaturates,g,2320.96
2016/17,Carbohydrate,g,17176.62
2016/17,Non-milk extrinsic sugars,g,4923.94
2016/17,Protein,g,5206.85
2017/18,Fat,g,14456.54
2017/18,Fatty acids: Saturates,g,5609.67
2017/18,Fatty acids: Mono-unsaturates,g,5549.11
2017/18,Fatty acids: Poly-unsaturates,g,2388.37
2017/18,Carbohydrate,g,16794.64
2017/18,Non-milk extrinsic sugars,g,4754.69
2017/18,Protein,g,5204.61
2018/19,Fat,g,14462.81
2018/19,Fatty acids: Saturates,g,5518.31
2018/19,Fatty acids: Mono-unsaturates,g,5593.8
2018/19,Fatty acids: Poly-unsaturates,g,2440.69
2018/19,Carbohydrate,g,16803.26
2018/19,Non-milk extrinsic sugars,g,4884.92
2018/19,Protein,g,5197.3
